,Unnamed: 0,prime,target,RT.200SOA,RT.1200SOA,obs.200SOA,obs.1200SOA,primecond,rel,t_length,t_freq,t_logfreq,t_orthoN,t_bgmean,t_POS,relation,FAS,LSA,BEAGLE_RPs,BEAGLE_PMI,p_freq,p_logfreq,p_length,p_orthoN,p_bgsum,p_bgmean,p_POS,jc_similarity,path_similarity,cosine_distance
13,19,ACCELERATE,speed,614.0322581,754.0,31,30,1,1,5,41.25,3.32,2.0,1961.75,NN|VB,unclassified,0.386,0.6,0.175995586,1.3699999680000001,1.27,1.82,10.0,0.0,26318.0,2924.22,VB,0.057766073672838224,,0.9281534627079964
14,20,ACCEPT,towel,605.6896552000001,646.03125,29,32,4,0,5,14.16,2.86,5.0,1067.5,NN|VB,,,,0.004656202,0.0,6.0,52.78,3.43,1.0,4357.0,871.4,VB,0.05538391064467819,,1.005534389987588
15,21,ACCEPT,understand,616.9333333,756.4333333,30,30,2,1,10,482.45,4.39,0.0,2726.11,VB,unclassified,0.047,0.36,0.25560461100000004,0.188042866,6.0,52.78,3.43,1.0,4357.0,871.4,VB,0.08738124963802729,0.2,0.8898785784840584
16,22,ACCOMPLISH,gather,646.625,717.7931034,32,29,3,0,6,15.67,2.9,3.0,2805.8,VB,,,,0.036133617,0.0,5.84,2.48,10.0,0.0,13835.0,1537.22,VB,0.07152375886049522,,0.9781054221093655
17,23,ACCOMPLISH,finish,617.9677419,670.96875,31,32,1,1,6,98.92,3.7,0.0,2653.4,VB|NN,synonym,0.34,0.19,0.095255495,0.079154255,5.84,2.48,10.0,0.0,13835.0,1537.22,VB,5.579935185664635,,1.007316850591451
18,24,ACCOMPLISHED,finished,645.1333333,728.483871,30,31,1,1,8,83.71,3.63,2.0,2785.86,VB,synonym,0.162,0.26,0.095255495,0.079154255,7.53,2.59,12.0,1.0,20069.0,1824.45,VB|JJ,5.579935185664635,0.5,1.0019100474892184
19,25,ACCOMPLISHED,fantasy,658.8709677,755.0666667,31,30,3,0,7,16.24,2.92,0.0,1747.5,NN,,,,0.047798960999999994,0.042670515,7.53,2.59,12.0,1.0,20069.0,1824.45,VB|JJ,NA,,0.8852271512150764
20,27,ACCOUNT,bag,630.0,578.90625,30,32,4,0,3,94.04,3.68,20.0,780.5,NN|VB,,,,0.045768709000000005,0.08297885299999999,7.0,44.71,3.36,0.0,10710.0,1785.0,NN|VB,0.06168447575698246,0.07142857142857142,0.9011179134249687
21,28,ACCUMULATE,broken,594.7419355000001,741.2758621,31,29,3,0,6,71.25,3.56,1.0,1532.2,VB|JJ,,,,0.110585379,0.137433736,0.57,1.48,10.0,0.0,14961.0,1662.33,VB,0.0612241059265799,0.125,0.9862246131524444
22,29,ACCUMULATE,gather,669.21875,775.3548387,32,31,1,1,6,15.67,2.9,3.0,2805.8,VB,synonym,0.205,0.07,0.14313414900000002,0.066589822,0.57,1.48,10.0,0.0,14961.0,1662.33,VB,0.06296596354442875,,1.050034511834383
23,30,ACCURATE,fish,648.9354839,703.8125,31,32,4,0,4,83.49,3.63,4.0,1618.0,NN|VB,,,,0.117130342,0.021304911,8.0,7.84,2.6,0.0,15385.0,2197.86,JJ,NA,,1.0195502880960703
24,31,ACCURATE,precise,756.5185184999999,827.9642857000001,27,28,2,1,7,5.2,2.42,1.0,2160.67,JJ,synonym,0.134,0.62,0.408213799,1.458341834,8.0,7.84,2.6,0.0,15385.0,2197.86,JJ,NA,,0.8601309359073639
25,32,ACCUSE,court,767.09375,687.59375,32,32,2,1,5,100.73,3.71,1.0,1626.25,NN|VB,script,0.03,0.4,0.023446491,0.332986186,6.0,5.69,2.46,0.0,5844.0,1168.8,VB,0.05736984455803193,,0.9828533679246902
26,33,ACCUSE,pants,807.5,609.125,30,32,4,0,5,58.75,3.48,4.0,2151.25,NN,,,,0.262821165,0.090810109,6.0,5.69,2.46,0.0,5844.0,1168.8,VB,NA,,0.8714402467012405
27,34,ACE,poker,646.0,645.90625,31,32,2,1,5,16.06,2.91,5.0,2091.0,NN,script,0.027999999999999997,0.17,0.012708213999999999,3.3046314760000004,3.0,14.73,2.88,11.0,3096.0,1548.0,NN,0.053775208213898605,0.0625,0.9344077408313751
28,35,ACE,length,623.4193548,625.8181818,31,33,4,0,6,7.02,2.56,0.0,2500.4,NN,,,,0.048163066,0.061448829,3.0,14.73,2.88,11.0,3096.0,1548.0,NN,0.11094709262672298,0.125,0.9671169258654118
29,36,ACHIEVE,math,578.03125,691.1333333,32,30,4,0,4,16.39,2.92,11.0,2394.67,NN,,,,0.048122117,0.024927072,7.0,7.33,2.57,0.0,7701.0,1283.5,VB,NA,,0.8454421907663345
30,37,ACHIEVE,succeed,612.1515152000001,695.5483871,33,31,2,1,7,9.45,2.68,0.0,1419.17,VB,unclassified,0.038,0.44,0.165011736,0.097594901,7.0,7.33,2.57,0.0,7701.0,1283.5,VB,1.664386242256721,0.5,0.9118318185210228
31,38,ACHIEVEMENT,success,588.6774194,657.40625,31,32,2,1,7,27.25,3.14,0.0,1536.67,NN,synonym,0.161,0.58,0.295965292,0.22453706199999998,11.0,3.49,2.25,0.0,17287.0,1728.7,NN,0.09834121839723232,0.16666666666666666,0.8994155377149582
32,39,ACHIEVEMENT,oyster,937.6923077,779.1428571,26,28,4,0,6,3.06,2.2,1.0,2899.0,NN,,,,0.128371374,0.138233986,11.0,3.49,2.25,0.0,17287.0,1728.7,NN,0.055683476110496045,0.058823529411764705,1.0035912829916924
33,40,ACID,drug,572.6666667000001,749.6,33,30,2,1,4,45.22,3.36,3.0,459.0,NN|VB,supraordinate,0.102,0.04,0.064413174,0.480058769,4.0,9.96,2.71,3.0,3296.0,1098.67,NN|JJ,0.10009577024592636,0.1111111111111111,0.9016148000955582
34,41,ACID,blow,663.6333333,736.2258065000001,30,31,4,0,4,97.57,3.7,8.0,1111.67,NN|VB,,,,0.232651501,0.027770207,4.0,9.96,2.71,3.0,3296.0,1098.67,NN|JJ,0.05625011968466903,0.0625,0.9997480449383147
35,42,ACQUIRE,get,628.7096774,654.5333333,31,30,1,1,3,4583.76,5.37,14.0,1282.5,VB,synonym,0.397,0.16,0.240835562,0.047321192000000005,2.65,2.13,7.0,0.0,7818.0,1303.0,VB,1e+300,,1.034692905843258
36,43,ACQUIRE,offense,747.0,611.9375,32,32,3,0,7,16.47,2.92,1.0,1479.5,NN,,,,0.010906411000000001,0.09954959,2.65,2.13,7.0,0.0,7818.0,1303.0,VB,NA,,0.9509577713906765
37,44,ACRE,vanish,779.2666667000001,811.8965517000001,30,29,3,0,6,3.2,2.21,2.0,1906.4,VB,,,,0.045902236,0.0,1.82,1.97,4.0,3.0,6802.0,2267.33,NN,NA,0.1111111111111111,0.9774357080459595
38,45,ACRE,land,571.9032258,634.9677419,31,31,1,1,4,88.12,3.65,11.0,2421.33,NN|VB,supraordinate,0.675,0.58,0.117060026,0.56613119,1.82,1.97,4.0,3.0,6802.0,2267.33,NN,0.05505131713405021,0.09090909090909091,0.867016926407814
39,48,ACT,pie,664.4444444000001,766.3793102999999,27,29,3,0,3,28.75,3.17,10.0,1037.0,NN,,,,0.11441186699999999,0.053414082,109.12,3.75,3.0,5.0,2603.0,1301.5,NN|VB,0.05321366373439623,0.06666666666666667,1.0383778512477875
40,49,ACT,play,551.3548387,659.3030302999999,31,33,1,1,4,354.53,4.26,6.0,1073.0,VB|NN,unclassified,0.182,0.18,0.172626475,0.075001901,109.12,3.75,3.0,5.0,2603.0,1301.5,NN|VB,0.12134898815495478,0.16666666666666666,0.9708373881876469
41,50,ACTION,noise,647.8709677,653.2333332999999,31,30,4,0,5,34.88,3.25,4.0,1484.75,NN,,,,0.012540351000000002,0.074373635,6.0,61.08,3.49,0.0,14494.0,2898.8,NN,0.13507638457089502,0.16666666666666666,0.9988578612683341
42,51,ACTION,verb,650.7096774,704.8709677,31,31,2,1,4,1.06,1.74,3.0,2778.33,NN,functional property,0.028999999999999998,0.53,0.18483692,0.524662495,6.0,61.08,3.49,0.0,14494.0,2898.8,NN,0.06993399288628051,0.08333333333333333,0.9443300925195217
43,52,ACTOR,actress,667.5806452,658.5483871,31,31,1,1,7,16.02,2.91,0.0,2482.17,NN,category,0.578,0.59,0.14822718,10.89023599,26.33,3.13,5.0,0.0,6723.0,1680.75,NN,1.1793780380360577,0.5,0.5366189777851105
44,53,ACTOR,color,591.5625,700.28125,32,32,3,0,5,39.43,3.3,1.0,1998.5,NN|VB,,,,0.07855153,0.125349254,26.33,3.13,5.0,0.0,6723.0,1680.75,NN,0.07587161167742582,0.08333333333333333,1.1002865806221962
45,54,ACTRESS,actor,661.3225806,636.90625,31,32,1,1,5,26.33,3.13,0.0,1680.75,NN,category,0.507,0.59,0.14822718,10.89150344,16.02,2.91,7.0,0.0,14893.0,2482.17,NN,1.1793780380360577,0.5,0.5576762557029724
46,55,ACTRESS,key,576.21875,673.7333332999999,32,30,3,0,3,86.86,3.65,3.0,567.0,JJ|NN|VB,,,,0.016275608,0.033989925,16.02,2.91,7.0,0.0,14893.0,2482.17,NN,0.07450715477729083,0.08333333333333333,1.032768752425909
47,56,AD,sell,687.5517241,735.96875,29,32,2,1,4,92.25,3.67,11.0,1794.0,VB|NN,unclassified,0.033,0.31,0.17516303800000002,0.07792439799999999,2.0,13.61,2.84,8.0,1051.0,1051.0,NN|minor,0.05600272729916397,0.07692307692307693,1.0014499612152576
48,57,AD,ask,690.40625,634.0333333,32,30,4,0,3,483.14,4.39,4.0,839.0,VB,,,,0.109648971,0.46484132200000006,2.0,13.61,2.84,8.0,1051.0,1051.0,NN|minor,NA,0.09090909090909091,0.9464529156684875
49,58,ADD,lion,647.8928571,624.4,28,30,3,0,4,15.35,2.89,4.0,3287.33,NN,,,,0.12362351099999999,0.03899248,33.06,3.23,3.0,6.0,1257.0,628.5,VB,NA,0.043478260869565216,1.0449145659804344
50,59,ADD,subtract,707.1875,703.6875,32,32,1,1,8,0.55,1.46,0.0,1240.71,VB,antonym,0.685,0.36,0.108172277,3.8044282419999997,33.06,3.23,3.0,6.0,1257.0,628.5,VB,0.05440774238721696,0.07142857142857142,0.9069200083613396
51,60,ADDICT,dependent,698.1,715.09375,30,32,2,1,9,2.24,2.06,1.0,2493.88,JJ|NN,synonym,0.013000000000000001,0.41,0.13214764,0.474587828,6.0,5.35,2.44,0.0,6565.0,1313.0,NN,0.06581965098086265,0.125,0.9947669664397836
52,61,ADDICT,mob,747.5909091,773.5909091,22,22,4,0,3,12.94,2.82,11.0,661.5,NN,,,,0.05977266,0.0,6.0,5.35,2.44,0.0,6565.0,1313.0,NN,0.045073543957326864,0.07142857142857142,0.9720858428627253
53,62,ADDICTION,poker,637.0333333,706.9354839,30,31,4,0,5,16.06,2.91,5.0,2091.0,NN,,,,0.112957374,0.102898264,9.0,3.9,2.3,0.0,18456.0,2307.0,NN,0.041929080760015364,0.06666666666666667,0.8772198185324669
54,63,ADDICTION,habit,661.9032258,688.7931034,31,29,2,1,5,14.47,2.87,0.0,1236.0,NN,supraordinate,0.013999999999999999,0.43,0.07611512599999999,1.252897325,9.0,3.9,2.3,0.0,18456.0,2307.0,NN,0.05102222807289371,0.09090909090909091,0.8433628678321838
55,64,ADDITION,thunder,754.6774194,685.7741934999999,31,31,4,0,7,13.31,2.83,0.0,2332.33,NN|VB,,,,0.051816735,0.0,8.0,7.75,2.6,1.0,17202.0,2457.43,NN,0.051974611121851,0.07692307692307693,0.8956393152475357
56,65,ADDITION,plus,674.6666667000001,594.0967742,30,31,2,1,4,47.04,3.38,2.0,942.0,minor,synonym,0.078,0.44,0.12434535599999999,0.17538352399999999,8.0,7.75,2.6,1.0,17202.0,2457.43,NN,NA,0.1,0.8697966039180756
57,70,ADJUSTMENT,bra,746.9354839,692.862069,31,29,2,1,3,10.92,2.75,2.0,1842.5,NN,unclassified,0.02,0.06,0.011804311000000001,0.0,10.0,3.1,2.2,0.0,14967.0,1663.0,NN,0.042753429850672736,0.058823529411764705,0.89510428160429
58,71,ADJUSTMENT,stone,657.09375,626.4516129,32,31,4,0,5,40.63,3.32,8.0,2953.0,NN|VB,,,,0.067130026,0.232653566,10.0,3.1,2.2,0.0,14967.0,1663.0,NN,0.052455993408813115,0.07142857142857142,1.0965042114257812
59,72,ADMISSION,ticket,557.5666667,664.7333332999999,30,30,1,1,6,45.57,3.37,4.0,2052.6,NN|VB,script,0.245,0.1,0.048725972,1.019292469,3.55,2.26,9.0,0.0,15647.0,1955.88,NN,0.05273416765362393,0.07142857142857142,0.6233852207660675
60,73,ADMISSION,ax,771.5882353,776.5,17,24,3,0,2,4.33,2.35,8.0,94.0,NN|VB,,,,0.074653274,0.09980205,3.55,2.26,9.0,0.0,15647.0,1955.88,NN,0.045162573352849476,0.05,0.9881893200799823
61,74,ADMIT,confess,750.7741934999999,707.9677419,31,31,1,1,7,15.84,2.91,1.0,2341.0,VB,synonym,0.131,0.4,0.368539116,0.572179485,59.2,3.48,5.0,0.0,4682.0,1170.5,VB,0.47754571885383423,0.5,0.7250184714794159
62,75,ADMIT,remember,736.3225806,664.1875,31,32,3,0,8,542.47,4.44,0.0,2250.71,VB,,,,0.004840623,0.07169754,59.2,3.48,5.0,0.0,4682.0,1170.5,VB,0.06423804521266582,0.16666666666666666,0.7447850108146667
63,76,ADOLESCENT,juvenile,876.8965517000001,789.8064516,29,31,2,1,8,5.12,2.42,0.0,1756.0,JJ,synonym,0.013999999999999999,0.33,0.068492898,2.7057838839999997,10.0,1.84,1.98,0.0,20185.0,2242.78,NN|JJ,NA,0.5,0.8045142740011215
64,77,ADOLESCENT,gain,628.0322581,794.7857142999999,31,28,4,0,4,13.73,2.85,9.0,2809.33,VB|NN,,,,0.10347078400000001,0.06959814,10.0,1.84,1.98,0.0,20185.0,2242.78,NN|JJ,0.055624537176797134,0.1,1.0442188493907452
65,78,ADORABLE,tantrum,884.0,842.7083332999998,26,24,3,0,7,0.88,1.66,0.0,1893.33,NN,,,,0.149180769,0.114158459,10.53,2.73,8.0,0.0,13105.0,1872.14,JJ,NA,,0.7791353315114975
66,79,ADORABLE,cute,572.59375,727.03125,32,32,1,1,4,87.75,3.65,6.0,1998.0,JJ|NN,synonym,0.6890000000000001,0.39,0.147851459,20.03079019,10.53,2.73,8.0,0.0,13105.0,1872.14,JJ,NA,,0.42548543214797974
67,80,ADVANCE,garbage,782.9655172,754.375,29,32,3,0,7,26.1,3.12,0.0,1102.17,NN,,,,0.076582787,0.06241284,15.98,2.91,7.0,0.0,8102.0,1350.33,NN|VB,0.05605818104999205,0.07692307692307693,1.0393763221800327
68,81,ADVANCE,forward,654.75,615.2258065000001,32,31,1,1,7,72.33,3.57,0.0,1278.83,RB|JJ|VB|NN,synonym,0.23,0.29,0.08833236300000001,0.198095044,15.98,2.91,7.0,0.0,8102.0,1350.33,NN|VB,0.058678160676142906,0.06666666666666667,0.913416713476181
69,82,ADVENTURE,electric,715.4193548,708.5666667,31,30,4,0,8,17.14,2.94,0.0,2063.57,JJ,,,,0.037546116000000004,0.060831839000000006,9.0,13.43,2.84,0.0,16492.0,2061.5,NN,NA,0.05,0.9904675539582968
70,83,ADVENTURE,journey,624.9032258,731.5483871,31,31,2,1,7,19.94,3.01,1.0,1026.17,NN|VB,synonym,0.045,0.56,0.10179616400000001,0.741414446,9.0,13.43,2.84,0.0,16492.0,2061.5,NN,0.07579722675912026,0.1,0.7722768783569336
71,84,ADVENTUROUS,adolescent,807.862069,861.6206897,29,29,3,0,10,1.84,1.98,0.0,2242.78,NN|JJ,,,,0.011345639,0.057196475999999996,1.22,1.8,11.0,0.0,17236.0,1723.6,JJ,NA,,0.8965848907828331
72,85,ADVENTUROUS,daring,795.7419355000001,726.75,31,32,1,1,6,4.2,2.33,4.0,3437.4,JJ|VB|NN,synonym,0.105,0.45,0.052181219,1.7317385809999999,1.22,1.8,11.0,0.0,17236.0,1723.6,JJ,NA,,0.8860383927822113
73,88,ADVERSARY,enemy,857.5517241,814.5555555999999,29,27,1,1,5,48.51,3.39,1.0,1800.5,NN,synonym,0.19699999999999998,0.42,0.048882974,0.502139617,1.51,1.89,9.0,0.0,14989.0,1873.63,NN,0.053684278987807206,0.08333333333333333,0.9540426135063171
74,89,ADVERSARY,wide,667.9333333,717.0909091,30,33,3,0,4,23.8,3.08,13.0,1305.0,JJ|RB|NN,,,,0.050810635,0.09654467800000001,1.51,1.89,9.0,0.0,14989.0,1873.63,NN,NA,,0.949505377560854
75,90,ADVERTISEMENT,newspaper,730.7878787999999,719.625,33,32,2,1,9,23.69,3.08,0.0,1665.13,NN,script,0.11800000000000001,0.57,0.23763265,1.243051455,13.0,1.2,1.79,0.0,29341.0,2445.08,NN,0.059630444388252074,0.06666666666666667,0.9934216444380581
76,91,ADVERTISEMENT,great,708.15625,688.8125,32,32,4,0,5,820.86,4.62,3.0,2821.5,JJ|NN|RB,,,,0.00843179,0.0,13.0,1.2,1.79,0.0,29341.0,2445.08,NN,0.06027612514699756,0.09090909090909091,0.9544623009860516
77,92,ADVISE,advice,739.4516129,735.09375,31,32,2,1,6,47.98,3.39,1.0,1162.6,NN,unclassified,0.02,0.52,0.09398003199999999,1.76788355,6.0,12.2,2.79,1.0,6679.0,1335.8,VB,NA,,0.9411935210227966
78,93,ADVISE,kitchen,637.21875,641.0967742,32,31,4,0,7,58.31,3.47,0.0,1654.0,NN,,,,0.066713082,0.042465565,6.0,12.2,2.79,1.0,6679.0,1335.8,VB,NA,,0.9368470758199692
79,94,AFFAIR,window,637.03125,705.1935484,32,31,3,0,6,86.0,3.64,0.0,2079.8,NN,,,,0.416346151,0.130881823,29.45,3.18,6.0,0.0,2791.0,558.2,NN,0.059915245886880214,0.05263157894736842,1.0012366865994409
80,95,AFFAIR,cheat,639.1333333,697.6060606000001,30,33,1,1,5,17.67,2.96,4.0,2315.5,VB|NN,synonym,0.142,0.16,0.04289787900000001,0.7362492840000001,29.45,3.18,6.0,0.0,2791.0,558.2,NN,0.047987743019279674,0.043478260869565216,0.928957037627697
81,96,AFRICA,continent,763.862069,797.1724138,29,29,1,1,9,3.67,2.27,0.0,3859.75,NN,supraordinate,0.23399999999999999,0.63,0.322493753,1.3724740990000002,18.76,2.98,6.0,0.0,7579.0,1515.8,NN,0.5050617310767244,0.5,0.604482501745224
82,97,AFRICA,get,788.5517241,619.4666667,29,30,3,0,3,4583.76,5.37,14.0,1282.5,VB,,,,0.0,0.036532781,18.76,2.98,6.0,0.0,7579.0,1515.8,NN,NA,0.05263157894736842,1.0004188117745798
83,98,AFTER,before,577.6129032,751.15625,31,32,1,1,6,794.14,4.61,0.0,1838.2,minor|RB|NN,antonym,0.5710000000000001,0.81,0.580842501,0.1150911,682.59,4.54,5.0,2.0,10949.0,2737.25,minor,NA,,0.6495440900325775
84,99,AFTER,sunset,636.96875,639.2903226,32,31,3,0,6,10.31,2.72,0.0,1591.4,NN,,,,0.031171757,0.061500879,682.59,4.54,5.0,2.0,10949.0,2737.25,minor,NA,,0.9060322567820549
85,100,AGAIN,hot,567.2258065000001,590.7419355000001,31,31,3,0,3,189.84,3.99,16.0,1049.5,JJ|VB,,,,0.124655377,0.12334176300000001,792.71,4.61,5.0,0.0,9212.0,2303.0,RB,NA,,0.8767683058977127
86,101,AGAIN,repeat,632.8275862,611.5757576000001,29,33,1,1,6,33.02,3.23,3.0,2575.0,VB|NN,synonym,0.336,0.33,0.20459998100000001,0.335260205,792.71,4.61,5.0,0.0,9212.0,2303.0,RB,NA,,0.8610071688890457
87,104,AGE,helper,784.7692308,817.4827586,26,29,3,0,6,2.02,2.02,1.0,2278.2,NN,,,,0.12547983599999998,0.039501569,79.2,3.61,3.0,10.0,1995.0,997.5,NN|VB,0.07436900137307965,0.1,0.9862513802945614
88,105,AGE,old,644.0322581,662.8181818,31,33,1,1,3,608.94,4.49,1.0,813.5,JJ|NN,supraordinate,0.391,0.41,0.166614509,0.088629311,79.2,3.61,3.0,10.0,1995.0,997.5,NN|VB,0.09338267311327055,0.16666666666666666,0.9057136178016663
89,106,AGENCY,bracelet,734.0689655,734.8571429,29,28,3,0,8,7.8,2.6,0.0,1897.86,NN,,,,0.053563942,0.066628515,19.43,3.0,6.0,0.0,7385.0,1477.0,NN,0.04615575607291684,0.06666666666666667,1.0760002061724663
90,107,AGENCY,company,661.0,595.3225806,32,31,1,1,7,147.2,3.88,0.0,1550.83,NN,synonym,0.08800000000000001,0.19,0.18016252,0.196574802,19.43,3.0,6.0,0.0,7385.0,1477.0,NN,0.14139139839197376,0.16666666666666666,1.0342922694981098
91,108,AGENDA,schedule,642.0606061000001,738.2333332999999,33,30,1,1,8,29.76,3.18,0.0,1919.71,NN|VB,synonym,0.259,0.04,0.055483789000000006,0.16987518399999998,7.31,2.57,6.0,0.0,8107.0,1621.4,NN,1e+300,1.0,0.8468489348888397
92,109,AGENDA,arrogant,762.6666667000001,775.0714286,27,28,3,0,8,5.22,2.43,0.0,1901.0,JJ,,,,0.032873745,0.038675185,7.31,2.57,6.0,0.0,8107.0,1621.4,NN,NA,,0.8656985014677048
93,110,AGREE,light,602.875,663.5454545,32,33,3,0,5,165.2,3.93,7.0,1094.25,NN|VB,,,,0.058652477,0.071204291,64.67,3.52,5.0,0.0,6944.0,1736.0,VB,0.06717514870581848,,1.0379492044448853
94,111,AGREE,disagree,657.2121212000001,759.3870968,33,31,1,1,8,6.63,2.53,0.0,1759.43,VB,antonym,0.39299999999999996,0.54,0.218008228,2.165679929,64.67,3.52,5.0,0.0,6944.0,1736.0,VB,0.06540303327660928,0.3333333333333333,0.5861276686191559
95,112,AGREEMENT,high,638.7419355000001,763.375,31,32,3,0,4,195.0,4.0,3.0,793.0,JJ|RB|NN,,,,0.08820471199999999,0.015567061,17.49,2.95,9.0,0.0,16530.0,2066.25,NN,0.07003974120698457,0.1111111111111111,1.0179774165153503
96,113,AGRICULTURE,carry,650.3225806,715.1,31,30,3,0,5,65.9,3.53,7.0,1495.0,VB|NN,,,,0.05486252,0.023692546000000002,1.1,1.76,11.0,0.0,15396.0,1539.6,NN,0.059388096687418894,0.09090909090909091,1.0907170698046684
97,114,AGRICULTURE,farm,606.71875,669.3125,32,32,1,1,4,30.04,3.19,6.0,1325.33,NN|VB,supraordinate,0.28300000000000003,0.62,0.161360879,1.640167435,1.1,1.76,11.0,0.0,15396.0,1539.6,NN,0.0487281053793947,0.0625,0.5884790122509003
98,115,AHEAD,armor,903.1333332999999,730.0344828,30,29,3,0,5,7.29,2.57,2.0,1816.5,NN,,,,0.1825908,0.126879205,198.33,4.0,5.0,0.0,4683.0,1170.75,RB|minor,NA,,0.9998305972112576
99,116,AHEAD,behind,645.34375,564.8387097,32,31,1,1,6,187.86,3.98,0.0,2146.8,minor|NN,antonym,0.424,0.61,0.229880427,0.81321097,198.33,4.0,5.0,0.0,4683.0,1170.75,RB|minor,NA,,0.9084113463759422
100,119,AIM,president,654.1333333,752.4333333,30,30,4,0,9,140.67,3.86,0.0,2794.25,NN,,,,0.035354500000000004,0.052745935,3.0,14.86,2.88,9.0,1805.0,902.5,NN|VB,0.06720883439320577,0.0625,0.9289213716983795
101,120,AIM,toothpaste,680.7142857000001,689.71875,28,32,2,1,10,3.14,2.21,0.0,1671.33,NN,supraordinate,0.068,0.08,0.040409584,2.452390416,3.0,14.86,2.88,9.0,1805.0,902.5,NN|VB,0.05119547399875208,0.0625,0.8909481763839722
102,121,AIR,murder,706.0,690.0322581,30,31,3,0,6,112.1,3.76,0.0,2220.2,NN|VB,,,,0.095853744,0.028539796,139.02,3.85,3.0,5.0,1728.0,864.0,NN|VB,0.056293194855203496,0.058823529411764705,0.950089156627655
103,122,AIR,breathe,646.5,703.8064516,32,31,1,1,7,48.51,3.39,3.0,2364.17,VB,functional property,0.17600000000000002,0.64,0.19086227600000003,0.6997685379999999,139.02,3.85,3.0,5.0,1728.0,864.0,NN|VB,0.056525143182920484,0.125,0.8734208047389984
