,prime,target,RT.200SOA,RT.1200SOA,obs.200SOA,obs.1200SOA,primecond,rel,t_length,t_freq,t_logfreq,t_orthoN,t_bgmean,t_POS,relation,FAS,LSA,BEAGLE_RPs,BEAGLE_PMI,p_freq,p_logfreq,p_length,p_orthoN,p_bgsum,p_bgmean,p_POS
17,ABUNDANCE,cloth,742.0666667,638.96875,30,32,3,0,5,6.1,2.49,1,1069,NN,,,,0.052644478,0.098280823,0.88,1.66,9,0,12189,1523.63,NN
18,ACCELERATE,drugs,580.4516129,662.9666667,31,30,3,0,5,48.31,3.39,2,412.5,NN|VB,,,,0.058800002,0.077489721,1.27,1.82,10,0,26318,2924.22,VB
19,ACCELERATE,speed,614.0322581,754,31,30,1,1,5,41.25,3.32,2,1961.75,NN|VB,unclassified,0.386,0.6,0.175995586,1.369999968,1.27,1.82,10,0,26318,2924.22,VB
20,ACCEPT,towel,605.6896552,646.03125,29,32,4,0,5,14.16,2.86,5,1067.5,NN|VB,,,,0.004656202,0,6,52.78,3.43,1,4357,871.4,VB
21,ACCEPT,understand,616.9333333,756.4333333,30,30,2,1,10,482.45,4.39,0,2726.11,VB,unclassified,0.047,0.36,0.255604611,0.188042866,6,52.78,3.43,1,4357,871.4,VB
22,ACCOMPLISH,gather,646.625,717.7931034,32,29,3,0,6,15.67,2.9,3,2805.8,VB,,,,0.036133617,0,5.84,2.48,10,0,13835,1537.22,VB
23,ACCOMPLISH,finish,617.9677419,670.96875,31,32,1,1,6,98.92,3.7,0,2653.4,VB|NN,synonym,0.34,0.19,0.095255495,0.079154255,5.84,2.48,10,0,13835,1537.22,VB
24,ACCOMPLISHED,finished,645.1333333,728.483871,30,31,1,1,8,83.71,3.63,2,2785.86,VB,synonym,0.162,0.26,0.095255495,0.079154255,7.53,2.59,12,1,20069,1824.45,VB|JJ
25,ACCOMPLISHED,fantasy,658.8709677,755.0666667,31,30,3,0,7,16.24,2.92,0,1747.5,NN,,,,0.047798961,0.042670515,7.53,2.59,12,1,20069,1824.45,VB|JJ
27,ACCOUNT,bag,630,578.90625,30,32,4,0,3,94.04,3.68,20,780.5,NN|VB,,,,0.045768709,0.082978853,7,44.71,3.36,0,10710,1785,NN|VB
28,ACCUMULATE,broken,594.7419355,741.2758621,31,29,3,0,6,71.25,3.56,1,1532.2,VB|JJ,,,,0.110585379,0.137433736,0.57,1.48,10,0,14961,1662.33,VB
29,ACCUMULATE,gather,669.21875,775.3548387,32,31,1,1,6,15.67,2.9,3,2805.8,VB,synonym,0.205,0.07,0.143134149,0.066589822,0.57,1.48,10,0,14961,1662.33,VB
30,ACCURATE,fish,648.9354839,703.8125,31,32,4,0,4,83.49,3.63,4,1618,NN|VB,,,,0.117130342,0.021304911,8,7.84,2.6,0,15385,2197.86,JJ
31,ACCURATE,precise,756.5185185,827.9642857,27,28,2,1,7,5.2,2.42,1,2160.67,JJ,synonym,0.134,0.62,0.408213799,1.458341834,8,7.84,2.6,0,15385,2197.86,JJ
32,ACCUSE,court,767.09375,687.59375,32,32,2,1,5,100.73,3.71,1,1626.25,NN|VB,script,0.03,0.4,0.023446491,0.332986186,6,5.69,2.46,0,5844,1168.8,VB
33,ACCUSE,pants,807.5,609.125,30,32,4,0,5,58.75,3.48,4,2151.25,NN,,,,0.262821165,0.090810109,6,5.69,2.46,0,5844,1168.8,VB
34,ACE,poker,646,645.90625,31,32,2,1,5,16.06,2.91,5,2091,NN,script,0.028,0.17,0.012708214,3.304631476,3,14.73,2.88,11,3096,1548,NN
35,ACE,length,623.4193548,625.8181818,31,33,4,0,6,7.02,2.56,0,2500.4,NN,,,,0.048163066,0.061448829,3,14.73,2.88,11,3096,1548,NN
36,ACHIEVE,math,578.03125,691.1333333,32,30,4,0,4,16.39,2.92,11,2394.67,NN,,,,0.048122117,0.024927072,7,7.33,2.57,0,7701,1283.5,VB
37,ACHIEVE,succeed,612.1515152,695.5483871,33,31,2,1,7,9.45,2.68,0,1419.17,VB,unclassified,0.038,0.44,0.165011736,0.097594901,7,7.33,2.57,0,7701,1283.5,VB
38,ACHIEVEMENT,success,588.6774194,657.40625,31,32,2,1,7,27.25,3.14,0,1536.67,NN,synonym,0.161,0.58,0.295965292,0.224537062,11,3.49,2.25,0,17287,1728.7,NN
39,ACHIEVEMENT,oyster,937.6923077,779.1428571,26,28,4,0,6,3.06,2.2,1,2899,NN,,,,0.128371374,0.138233986,11,3.49,2.25,0,17287,1728.7,NN
40,ACID,drug,572.6666667,749.6,33,30,2,1,4,45.22,3.36,3,459,NN|VB,supraordinate,0.102,0.04,0.064413174,0.480058769,4,9.96,2.71,3,3296,1098.67,NN|JJ
41,ACID,blow,663.6333333,736.2258065,30,31,4,0,4,97.57,3.7,8,1111.67,NN|VB,,,,0.232651501,0.027770207,4,9.96,2.71,3,3296,1098.67,NN|JJ
42,ACQUIRE,get,628.7096774,654.5333333,31,30,1,1,3,4583.76,5.37,14,1282.5,VB,synonym,0.397,0.16,0.240835562,0.047321192,2.65,2.13,7,0,7818,1303,VB
43,ACQUIRE,offense,747,611.9375,32,32,3,0,7,16.47,2.92,1,1479.5,NN,,,,0.010906411,0.09954959,2.65,2.13,7,0,7818,1303,VB
44,ACRE,vanish,779.2666667,811.8965517,30,29,3,0,6,3.2,2.21,2,1906.4,VB,,,,0.045902236,0,1.82,1.97,4,3,6802,2267.33,NN
45,ACRE,land,571.9032258,634.9677419,31,31,1,1,4,88.12,3.65,11,2421.33,NN|VB,supraordinate,0.675,0.58,0.117060026,0.56613119,1.82,1.97,4,3,6802,2267.33,NN
48,ACT,pie,664.4444444,766.3793103,27,29,3,0,3,28.75,3.17,10,1037,NN,,,,0.114411867,0.053414082,109.12,3.75,3,5,2603,1301.5,NN|VB
49,ACT,play,551.3548387,659.3030303,31,33,1,1,4,354.53,4.26,6,1073,VB|NN,unclassified,0.182,0.18,0.172626475,0.075001901,109.12,3.75,3,5,2603,1301.5,NN|VB
50,ACTION,noise,647.8709677,653.2333333,31,30,4,0,5,34.88,3.25,4,1484.75,NN,,,,0.012540351,0.074373635,6,61.08,3.49,0,14494,2898.8,NN
51,ACTION,verb,650.7096774,704.8709677,31,31,2,1,4,1.06,1.74,3,2778.33,NN,functional property,0.029,0.53,0.18483692,0.524662495,6,61.08,3.49,0,14494,2898.8,NN
52,ACTOR,actress,667.5806452,658.5483871,31,31,1,1,7,16.02,2.91,0,2482.17,NN,category,0.578,0.59,0.14822718,10.89023599,26.33,3.13,5,0,6723,1680.75,NN
53,ACTOR,color,591.5625,700.28125,32,32,3,0,5,39.43,3.3,1,1998.5,NN|VB,,,,0.07855153,0.125349254,26.33,3.13,5,0,6723,1680.75,NN
54,ACTRESS,actor,661.3225806,636.90625,31,32,1,1,5,26.33,3.13,0,1680.75,NN,category,0.507,0.59,0.14822718,10.89150344,16.02,2.91,7,0,14893,2482.17,NN
55,ACTRESS,key,576.21875,673.7333333,32,30,3,0,3,86.86,3.65,3,567,JJ|NN|VB,,,,0.016275608,0.033989925,16.02,2.91,7,0,14893,2482.17,NN
56,AD,sell,687.5517241,735.96875,29,32,2,1,4,92.25,3.67,11,1794,VB|NN,unclassified,0.033,0.31,0.175163038,0.077924398,2,13.61,2.84,8,1051,1051,NN|minor
57,AD,ask,690.40625,634.0333333,32,30,4,0,3,483.14,4.39,4,839,VB,,,,0.109648971,0.464841322,2,13.61,2.84,8,1051,1051,NN|minor
58,ADD,lion,647.8928571,624.4,28,30,3,0,4,15.35,2.89,4,3287.33,NN,,,,0.123623511,0.03899248,33.06,3.23,3,6,1257,628.5,VB
59,ADD,subtract,707.1875,703.6875,32,32,1,1,8,0.55,1.46,0,1240.71,VB,antonym,0.685,0.36,0.108172277,3.804428242,33.06,3.23,3,6,1257,628.5,VB
60,ADDICT,dependent,698.1,715.09375,30,32,2,1,9,2.24,2.06,1,2493.88,JJ|NN,synonym,0.013,0.41,0.13214764,0.474587828,6,5.35,2.44,0,6565,1313,NN
61,ADDICT,mob,747.5909091,773.5909091,22,22,4,0,3,12.94,2.82,11,661.5,NN,,,,0.05977266,0,6,5.35,2.44,0,6565,1313,NN
62,ADDICTION,poker,637.0333333,706.9354839,30,31,4,0,5,16.06,2.91,5,2091,NN,,,,0.112957374,0.102898264,9,3.9,2.3,0,18456,2307,NN
63,ADDICTION,habit,661.9032258,688.7931034,31,29,2,1,5,14.47,2.87,0,1236,NN,supraordinate,0.014,0.43,0.076115126,1.252897325,9,3.9,2.3,0,18456,2307,NN
64,ADDITION,thunder,754.6774194,685.7741935,31,31,4,0,7,13.31,2.83,0,2332.33,NN|VB,,,,0.051816735,0,8,7.75,2.6,1,17202,2457.43,NN
65,ADDITION,plus,674.6666667,594.0967742,30,31,2,1,4,47.04,3.38,2,942,minor,synonym,0.078,0.44,0.124345356,0.175383524,8,7.75,2.6,1,17202,2457.43,NN
70,ADJUSTMENT,bra,746.9354839,692.862069,31,29,2,1,3,10.92,2.75,2,1842.5,NN,unclassified,0.02,0.06,0.011804311,0,10,3.1,2.2,0,14967,1663,NN
71,ADJUSTMENT,stone,657.09375,626.4516129,32,31,4,0,5,40.63,3.32,8,2953,NN|VB,,,,0.067130026,0.232653566,10,3.1,2.2,0,14967,1663,NN
72,ADMISSION,ticket,557.5666667,664.7333333,30,30,1,1,6,45.57,3.37,4,2052.6,NN|VB,script,0.245,0.1,0.048725972,1.019292469,3.55,2.26,9,0,15647,1955.88,NN
73,ADMISSION,ax,771.5882353,776.5,17,24,3,0,2,4.33,2.35,8,94,NN|VB,,,,0.074653274,0.09980205,3.55,2.26,9,0,15647,1955.88,NN
74,ADMIT,confess,750.7741935,707.9677419,31,31,1,1,7,15.84,2.91,1,2341,VB,synonym,0.131,0.4,0.368539116,0.572179485,59.2,3.48,5,0,4682,1170.5,VB
75,ADMIT,remember,736.3225806,664.1875,31,32,3,0,8,542.47,4.44,0,2250.71,VB,,,,0.004840623,0.07169754,59.2,3.48,5,0,4682,1170.5,VB
76,ADOLESCENT,juvenile,876.8965517,789.8064516,29,31,2,1,8,5.12,2.42,0,1756,JJ,synonym,0.014,0.33,0.068492898,2.705783884,10,1.84,1.98,0,20185,2242.78,NN|JJ
77,ADOLESCENT,gain,628.0322581,794.7857143,31,28,4,0,4,13.73,2.85,9,2809.33,VB|NN,,,,0.103470784,0.06959814,10,1.84,1.98,0,20185,2242.78,NN|JJ
78,ADORABLE,tantrum,884,842.7083333,26,24,3,0,7,0.88,1.66,0,1893.33,NN,,,,0.149180769,0.114158459,10.53,2.73,8,0,13105,1872.14,JJ
79,ADORABLE,cute,572.59375,727.03125,32,32,1,1,4,87.75,3.65,6,1998,JJ|NN,synonym,0.689,0.39,0.147851459,20.03079019,10.53,2.73,8,0,13105,1872.14,JJ
80,ADVANCE,garbage,782.9655172,754.375,29,32,3,0,7,26.1,3.12,0,1102.17,NN,,,,0.076582787,0.06241284,15.98,2.91,7,0,8102,1350.33,NN|VB
81,ADVANCE,forward,654.75,615.2258065,32,31,1,1,7,72.33,3.57,0,1278.83,RB|JJ|VB|NN,synonym,0.23,0.29,0.088332363,0.198095044,15.98,2.91,7,0,8102,1350.33,NN|VB
82,ADVENTURE,electric,715.4193548,708.5666667,31,30,4,0,8,17.14,2.94,0,2063.57,JJ,,,,0.037546116,0.060831839,9,13.43,2.84,0,16492,2061.5,NN
83,ADVENTURE,journey,624.9032258,731.5483871,31,31,2,1,7,19.94,3.01,1,1026.17,NN|VB,synonym,0.045,0.56,0.101796164,0.741414446,9,13.43,2.84,0,16492,2061.5,NN
84,ADVENTUROUS,adolescent,807.862069,861.6206897,29,29,3,0,10,1.84,1.98,0,2242.78,NN|JJ,,,,0.011345639,0.057196476,1.22,1.8,11,0,17236,1723.6,JJ
85,ADVENTUROUS,daring,795.7419355,726.75,31,32,1,1,6,4.2,2.33,4,3437.4,JJ|VB|NN,synonym,0.105,0.45,0.052181219,1.731738581,1.22,1.8,11,0,17236,1723.6,JJ
88,ADVERSARY,enemy,857.5517241,814.5555556,29,27,1,1,5,48.51,3.39,1,1800.5,NN,synonym,0.197,0.42,0.048882974,0.502139617,1.51,1.89,9,0,14989,1873.63,NN
89,ADVERSARY,wide,667.9333333,717.0909091,30,33,3,0,4,23.8,3.08,13,1305,JJ|RB|NN,,,,0.050810635,0.096544678,1.51,1.89,9,0,14989,1873.63,NN
90,ADVERTISEMENT,newspaper,730.7878788,719.625,33,32,2,1,9,23.69,3.08,0,1665.13,NN,script,0.118,0.57,0.23763265,1.243051455,13,1.2,1.79,0,29341,2445.08,NN
91,ADVERTISEMENT,great,708.15625,688.8125,32,32,4,0,5,820.86,4.62,3,2821.5,JJ|NN|RB,,,,0.00843179,0,13,1.2,1.79,0,29341,2445.08,NN
92,ADVISE,advice,739.4516129,735.09375,31,32,2,1,6,47.98,3.39,1,1162.6,NN,unclassified,0.02,0.52,0.093980032,1.76788355,6,12.2,2.79,1,6679,1335.8,VB
93,ADVISE,kitchen,637.21875,641.0967742,32,31,4,0,7,58.31,3.47,0,1654,NN,,,,0.066713082,0.042465565,6,12.2,2.79,1,6679,1335.8,VB
94,AFFAIR,window,637.03125,705.1935484,32,31,3,0,6,86,3.64,0,2079.8,NN,,,,0.416346151,0.130881823,29.45,3.18,6,0,2791,558.2,NN
95,AFFAIR,cheat,639.1333333,697.6060606,30,33,1,1,5,17.67,2.96,4,2315.5,VB|NN,synonym,0.142,0.16,0.042897879,0.736249284,29.45,3.18,6,0,2791,558.2,NN
96,AFRICA,continent,763.862069,797.1724138,29,29,1,1,9,3.67,2.27,0,3859.75,NN,supraordinate,0.234,0.63,0.322493753,1.372474099,18.76,2.98,6,0,7579,1515.8,NN
97,AFRICA,get,788.5517241,619.4666667,29,30,3,0,3,4583.76,5.37,14,1282.5,VB,,,,0,0.036532781,18.76,2.98,6,0,7579,1515.8,NN
98,AFTER,before,577.6129032,751.15625,31,32,1,1,6,794.14,4.61,0,1838.2,minor|RB|NN,antonym,0.571,0.81,0.580842501,0.1150911,682.59,4.54,5,2,10949,2737.25,minor
99,AFTER,sunset,636.96875,639.2903226,32,31,3,0,6,10.31,2.72,0,1591.4,NN,,,,0.031171757,0.061500879,682.59,4.54,5,2,10949,2737.25,minor
100,AGAIN,hot,567.2258065,590.7419355,31,31,3,0,3,189.84,3.99,16,1049.5,JJ|VB,,,,0.124655377,0.123341763,792.71,4.61,5,0,9212,2303,RB
101,AGAIN,repeat,632.8275862,611.5757576,29,33,1,1,6,33.02,3.23,3,2575,VB|NN,synonym,0.336,0.33,0.204599981,0.335260205,792.71,4.61,5,0,9212,2303,RB
104,AGE,helper,784.7692308,817.4827586,26,29,3,0,6,2.02,2.02,1,2278.2,NN,,,,0.125479836,0.039501569,79.2,3.61,3,10,1995,997.5,NN|VB
105,AGE,old,644.0322581,662.8181818,31,33,1,1,3,608.94,4.49,1,813.5,JJ|NN,supraordinate,0.391,0.41,0.166614509,0.088629311,79.2,3.61,3,10,1995,997.5,NN|VB
106,AGENCY,bracelet,734.0689655,734.8571429,29,28,3,0,8,7.8,2.6,0,1897.86,NN,,,,0.053563942,0.066628515,19.43,3,6,0,7385,1477,NN
107,AGENCY,company,661,595.3225806,32,31,1,1,7,147.2,3.88,0,1550.83,NN,synonym,0.088,0.19,0.18016252,0.196574802,19.43,3,6,0,7385,1477,NN
108,AGENDA,schedule,642.0606061,738.2333333,33,30,1,1,8,29.76,3.18,0,1919.71,NN|VB,synonym,0.259,0.04,0.055483789,0.169875184,7.31,2.57,6,0,8107,1621.4,NN
109,AGENDA,arrogant,762.6666667,775.0714286,27,28,3,0,8,5.22,2.43,0,1901,JJ,,,,0.032873745,0.038675185,7.31,2.57,6,0,8107,1621.4,NN
110,AGREE,light,602.875,663.5454545,32,33,3,0,5,165.2,3.93,7,1094.25,NN|VB,,,,0.058652477,0.071204291,64.67,3.52,5,0,6944,1736,VB
111,AGREE,disagree,657.2121212,759.3870968,33,31,1,1,8,6.63,2.53,0,1759.43,VB,antonym,0.393,0.54,0.218008228,2.165679929,64.67,3.52,5,0,6944,1736,VB
112,AGREEMENT,high,638.7419355,763.375,31,32,3,0,4,195,4,3,793,JJ|RB|NN,,,,0.088204712,0.015567061,17.49,2.95,9,0,16530,2066.25,NN
113,AGRICULTURE,carry,650.3225806,715.1,31,30,3,0,5,65.9,3.53,7,1495,VB|NN,,,,0.05486252,0.023692546,1.1,1.76,11,0,15396,1539.6,NN
114,AGRICULTURE,farm,606.71875,669.3125,32,32,1,1,4,30.04,3.19,6,1325.33,NN|VB,supraordinate,0.283,0.62,0.161360879,1.640167435,1.1,1.76,11,0,15396,1539.6,NN
115,AHEAD,armor,903.1333333,730.0344828,30,29,3,0,5,7.29,2.57,2,1816.5,NN,,,,0.1825908,0.126879205,198.33,4,5,0,4683,1170.75,RB|minor
116,AHEAD,behind,645.34375,564.8387097,32,31,1,1,6,187.86,3.98,0,2146.8,minor|NN,antonym,0.424,0.61,0.229880427,0.81321097,198.33,4,5,0,4683,1170.75,RB|minor
119,AIM,president,654.1333333,752.4333333,30,30,4,0,9,140.67,3.86,0,2794.25,NN,,,,0.0353545,0.052745935,3,14.86,2.88,9,1805,902.5,NN|VB
120,AIM,toothpaste,680.7142857,689.71875,28,32,2,1,10,3.14,2.21,0,1671.33,NN,supraordinate,0.068,0.08,0.040409584,2.452390416,3,14.86,2.88,9,1805,902.5,NN|VB
121,AIR,murder,706,690.0322581,30,31,3,0,6,112.1,3.76,0,2220.2,NN|VB,,,,0.095853744,0.028539796,139.02,3.85,3,5,1728,864,NN|VB
122,AIR,breathe,646.5,703.8064516,32,31,1,1,7,48.51,3.39,3,2364.17,VB,functional property,0.176,0.64,0.190862276,0.699768538,139.02,3.85,3,5,1728,864,NN|VB
123,AIRCRAFT,pilot,686.8095238,612.7142857,63,63,3,0,5,26.67,3.13,1,1156.75,NN|VB,script,0.054,0.8,0.128383032,1.46847642,8,9.45,2.68,0,6458,922.57,NN
124,AIRCRAFT,pilot,686.8095238,612.7142857,63,63,3,0,5,26.67,3.13,1,1156.75,NN|VB,,,,0.078852332,0.116832767,8,9.45,2.68,0,6458,922.57,NN
125,AIRPLANE,fly,569.9090909,675.2258065,33,31,1,1,3,85,3.64,4,1008.5,VB|NN,functional property,0.32,0.68,0.201216098,1.664784552,10.92,2.75,8,0,10550,1507.14,NN
126,AIRPLANE,communist,876.4285714,770.1,28,30,3,0,9,7.57,2.59,1,1765.75,NN|JJ,,,,0.195463662,0.074661034,10.92,2.75,8,0,10550,1507.14,NN
127,AIRPORT,leaves,729.6875,718.4666667,32,30,3,0,6,45.41,3.36,5,2400.8,VB,,,,0.030417945,0,38.04,3.29,7,0,6828,1138,NN
128,AIRPORT,plane,703.6333333,604.75,30,32,1,1,5,95.53,3.69,5,2138.5,NN|VB,script,0.757,0.75,0.115055856,0.426063207,38.04,3.29,7,0,6828,1138,NN
129,ALARM,am,918.1176471,787.8666667,17,15,4,0,2,1106.63,4.75,7,945,VB,,,,0.046088387,0.02133054,5,29.84,3.18,0,8631,2157.75,NN|VB
130,ALARM,morning,752.6875,647.1875,32,32,2,1,7,439,4.35,1,2753.83,NN,unclassified,0.042,0.49,0.038956835,0.235903392,5,29.84,3.18,0,8631,2157.75,NN|VB
131,ALBUM,less,674.8125,703.7,32,30,3,0,4,111.1,3.75,8,3158.67,JJ|RB|minor,,,,0,1.056838538,10.24,2.72,5,0,4277,1069.25,NN
132,ALBUM,record,596.3548387,673.5,31,32,1,1,6,85.59,3.64,1,2339.8,NN,synonym,0.333,0.4,0.064912225,0.802683116,10.24,2.72,5,0,4277,1069.25,NN
133,ALCOHOL,sticky,725.28125,805.7741935,32,31,4,0,6,5.73,2.47,3,2333.8,JJ,,,,0.102735924,0.021379786,7,16.57,2.93,0,8157,1359.5,NN
134,ALCOHOL,drink,672.030303,635.9375,33,32,2,1,5,247.39,4.1,3,2612.75,VB|NN,supraordinate,0.151,0.79,0.20318178,3.491383555,7,16.57,2.93,0,8157,1359.5,NN
135,ALGAE,pool,555,640.9666667,31,30,2,1,4,46.98,3.38,9,1099.67,NN|VB,script,0.041,0.18,0,0.420847182,5,0.43,1.36,0,3790,947.5,NN
136,ALGAE,theory,676.1875,708.7741935,32,31,4,0,6,28.61,3.16,0,1340.4,NN,,,,0.046331772,0.058402835,5,0.43,1.36,0,3790,947.5,NN
137,ALIVE,live,582.2666667,697.8666667,30,30,2,1,4,344.59,4.24,11,1840.67,VB,synonym,0.02,0.36,0.088261233,0.29879463,5,154.47,3.9,3,8586,2146.5,JJ
138,ALIVE,create,589.6875,685.1333333,32,30,4,0,6,25.27,3.11,1,3145.8,VB|NN,,,,0.077003934,0.038779234,5,154.47,3.9,3,8586,2146.5,JJ
139,ALL,none,625.1290323,647.34375,31,32,1,1,4,110.61,3.75,13,2560,NN,antonym,0.333,0.65,0.272647857,0.115632301,5161.86,5.42,3,5,4681,2340.5,minor|RB
140,ALL,towel,719.34375,721.5806452,32,31,3,0,5,14.16,2.86,5,1067.5,NN|VB,,,,0.024692252,0,5161.86,5.42,3,5,4681,2340.5,minor|RB
141,ALLEGIANCE,pledge,599.8709677,672.0606061,31,33,1,1,6,6.88,2.55,1,2005.4,NN|VB,bpa,0.311,0.49,0.029846659,26.34723257,3.12,2.2,10,0,16742,1860.22,NN
142,ALLEGIANCE,spot,695.0666667,662.9375,30,32,3,0,4,61.57,3.5,7,936.33,NN|VB,,,,0.043232885,0.945214724,3.12,2.2,10,0,16742,1860.22,NN
143,ALLERGY,sneeze,696.6875,671.516129,32,31,1,1,6,2.94,2.18,0,771.2,VB|NN,script,0.407,0.39,0.050680239,23.09474156,1.69,1.94,7,0,14700,2450,NN
144,ALLERGY,top,673.8709677,601.2962963,31,27,3,0,3,133.43,3.83,16,1058.5,JJ|NN|VB|RB,,,,0,0,1.69,1.94,7,0,14700,2450,NN
145,ALLIGATOR,sugar,714.3870968,647.2,31,30,4,0,5,37.76,3.28,0,1189,NN|VB,,,,0.013101119,0.011925316,9,3.49,2.25,0,17162,2145.25,NN
146,ALLIGATOR,river,646.6129032,718,31,30,2,1,5,55.47,3.45,7,2952.5,NN,script,0.024,0.19,0.054431038,0.674527005,9,3.49,2.25,0,17162,2145.25,NN
147,ALLOW,let,641.9666667,665.5,30,28,1,1,3,2419.24,5.09,16,2385,VB|NN,synonym,0.461,0.25,0.336459117,0.093602784,44.37,3.35,5,3,6836,1709,VB|NN
148,ALLOW,seven,625.5,641.8064516,32,31,3,0,5,104.45,3.73,2,2057,minor|NN,,,,0.035861227,0.003459956,44.37,3.35,5,3,6836,1709,VB|NN
149,ALMANAC,devil,589.9333333,644.2903226,30,31,4,0,5,41.33,3.32,0,1320,NN,,,,0.0681095,0.064325741,7,0.84,1.64,0,11223,1870.5,NN
150,ALMANAC,map,650.3103448,688.8214286,29,28,2,1,3,31.82,3.21,18,1276.5,NN|VB,category,0.101,0.1,0.042509868,0.346960726,7,0.84,1.64,0,11223,1870.5,NN
151,ALONE,lonely,656.6060606,663.6206897,33,29,1,1,6,41.67,3.33,1,2325.6,JJ|RB,script,0.215,0.6,0.15793475,0.397837211,308.53,4.2,5,3,11414,2853.5,RB|JJ
152,ALONE,movement,725.7575758,758.8064516,33,31,3,0,8,14.84,2.88,0,1856,NN,,,,0.134601426,0.221709665,308.53,4.2,5,3,11414,2853.5,RB|JJ
153,ALPHABET,letters,786.9677419,593.4375,31,32,1,1,7,37.45,3.28,2,2911.33,NN,perceptual property,0.412,0.8,0.20610395,6.018698232,2.49,2.11,8,0,8062,1151.71,NN
154,ALPHABET,kids,606.84375,583.0333333,32,30,3,0,4,301.1,4.19,5,562.33,NN|VB,,,,0.04869593,0.297744348,2.49,2.11,8,0,8062,1151.71,NN
155,ALTER,change,606.6774194,664.1875,31,32,1,1,6,240.35,4.09,2,2255,NN|VB,synonym,0.633,0.44,0.384904009,0.373847247,4.78,2.39,5,3,13992,3498,VB
156,ALTER,deer,641.9032258,666.7419355,31,31,3,0,4,8.71,2.65,11,3211,NN,,,,0.051723968,0.032405962,4.78,2.39,5,3,13992,3498,VB
157,ALTO,soprano,672.9230769,858.5862069,26,29,1,1,7,2.65,2.13,0,1711.5,NN|JJ,category,0.243,0.76,0.271068738,44.65407863,1.35,1.85,4,2,4801,1600.33,NN
158,ALTO,ground,662.875,797.1034483,32,29,3,0,6,72.47,3.57,1,1636.8,NN|VB,,,,0.036690519,0.071647934,1.35,1.85,4,2,4801,1600.33,NN
159,ALWAYS,forever,612.8484848,619.4,33,30,1,1,7,88.8,3.66,0,2738.17,RB|NN,synonym,0.378,0.48,0.164115233,0.509877685,655.25,4.52,6,0,4411,882.2,RB
160,ALWAYS,lettuce,836.9,747.8666667,30,30,3,0,7,3.39,2.24,0,1376.17,NN,,,,0.063130575,0.044036835,655.25,4.52,6,0,4411,882.2,RB
161,AMATEUR,company,664.71875,754.516129,32,31,4,0,7,147.2,3.88,0,1550.83,NN,,,,0.070078444,0.072209804,7,6.55,2.52,0,12704,2117.33,NN|JJ
162,AMATEUR,beginner,697.625,712.625,32,32,2,1,8,1.94,2,0,2509.71,NN,synonym,0.128,0.23,0.053186139,0.735600902,7,6.55,2.52,0,12704,2117.33,NN|JJ
