"prime","target","RT.200SOA","RT.1200SOA","obs.200SOA","obs.1200SOA","primecond","rel","t_length","t_freq","t_logfreq","t_orthoN","t_bgmean","t_POS","relation","FAS","LSA","BEAGLE_RPs","BEAGLE_PMI","p_freq","p_logfreq","p_length","p_orthoN","p_bgsum","p_bgmean","p_POS"
"ABOVE","property",662.58064516129,700.074074074074,31,27,3,0,8,33.29,3.23,1,1966.86,"NN",NA,NA,NA,0.02179785,0.045033475,48.88,3.4,5,1,4212,1053,"minor|JJ|NN"
"ABSTRACT","unknown",669.709677419355,672.09375,31,32,4,0,7,15.18,2.89,0,649.17,"JJ|NN",NA,NA,NA,0.034185094,0.078829353,8,2.18,2.05,0,12196,1742.29,"JJ|NN|VB"
"ABSTRACT","thought",594.939393939394,716.645161290323,33,31,2,1,7,808.47,4.62,0,886.67,"VB|NN","fpa",0.021,0.19,0.121965377,0.328407441,8,2.18,2.05,0,12196,1742.29,"JJ|NN|VB"
"ABSURD","ridiculous",783.266666666667,679.774193548387,30,31,1,1,10,55.61,3.45,0,1577,"JJ","synonym",0.268,0.43,0.159454229,6.306579023,9.71,2.7,6,0,4072,814.4,"JJ|NN"
"ABSURD","satin",947.464285714286,936.291666666667,28,24,3,0,5,2.61,2.13,2,4147.25,"NN",NA,NA,NA,0.099744233,0.112831626,9.71,2.7,6,0,4072,814.4,"JJ|NN"
"ABUNDANCE","lots",611.033333333333,677.7,30,30,1,1,4,60.16,3.49,8,1126.67,"NN","synonym",0.224,0.05,0.030902674,0.109464343,0.88,1.66,9,0,12189,1523.63,"NN"
"ABUNDANCE","cloth",742.066666666667,638.96875,30,32,3,0,5,6.1,2.49,1,1069,"NN",NA,NA,NA,0.052644478,0.098280823,0.88,1.66,9,0,12189,1523.63,"NN"
"ACCELERATE","drugs",580.451612903226,662.966666666667,31,30,3,0,5,48.31,3.39,2,412.5,"NN|VB",NA,NA,NA,0.058800002,0.077489721,1.27,1.82,10,0,26318,2924.22,"VB"
"ACCELERATE","speed",614.032258064516,754,31,30,1,1,5,41.25,3.32,2,1961.75,"NN|VB","unclassified",0.386,0.6,0.175995586,1.369999968,1.27,1.82,10,0,26318,2924.22,"VB"
"ACCEPT","towel",605.689655172414,646.03125,29,32,4,0,5,14.16,2.86,5,1067.5,"NN|VB",NA,NA,NA,0.004656202,0,6,52.78,3.43,1,4357,871.4,"VB"
"ACCEPT","understand",616.933333333333,756.433333333333,30,30,2,1,10,482.45,4.39,0,2726.11,"VB","unclassified",0.047,0.36,0.255604611,0.188042866,6,52.78,3.43,1,4357,871.4,"VB"
"ACCOMPLISH","gather",646.625,717.793103448276,32,29,3,0,6,15.67,2.9,3,2805.8,"VB",NA,NA,NA,0.036133617,0,5.84,2.48,10,0,13835,1537.22,"VB"
"ACCOMPLISH","finish",617.967741935484,670.96875,31,32,1,1,6,98.92,3.7,0,2653.4,"VB|NN","synonym",0.34,0.19,0.095255495,0.079154255,5.84,2.48,10,0,13835,1537.22,"VB"
"ACCOMPLISHED","finished",645.133333333333,728.483870967742,30,31,1,1,8,83.71,3.63,2,2785.86,"VB","synonym",0.162,0.26,0.095255495,0.079154255,7.53,2.59,12,1,20069,1824.45,"VB|JJ"
"ACCOMPLISHED","fantasy",658.870967741935,755.066666666667,31,30,3,0,7,16.24,2.92,0,1747.5,"NN",NA,NA,NA,0.047798961,0.042670515,7.53,2.59,12,1,20069,1824.45,"VB|JJ"
"ACCOUNT","for",811.967741935484,708.576923076923,31,26,2,1,3,6895.1,5.55,7,1672,"minor","fpa",0.021,0.2,0.15599211,0.118860271,7,44.71,3.36,0,10710,1785,"NN|VB"
"ACCOUNT","bag",630,578.90625,30,32,4,0,3,94.04,3.68,20,780.5,"NN|VB",NA,NA,NA,0.045768709,0.082978853,7,44.71,3.36,0,10710,1785,"NN|VB"
"ACCUMULATE","broken",594.741935483871,741.275862068965,31,29,3,0,6,71.25,3.56,1,1532.2,"VB|JJ",NA,NA,NA,0.110585379,0.137433736,0.57,1.48,10,0,14961,1662.33,"VB"
"ACCUMULATE","gather",669.21875,775.354838709677,32,31,1,1,6,15.67,2.9,3,2805.8,"VB","synonym",0.205,0.07,0.143134149,0.066589822,0.57,1.48,10,0,14961,1662.33,"VB"
"ACCURATE","fish",648.935483870968,703.8125,31,32,4,0,4,83.49,3.63,4,1618,"NN|VB",NA,NA,NA,0.117130342,0.021304911,8,7.84,2.6,0,15385,2197.86,"JJ"
"ACCURATE","precise",756.518518518518,827.964285714286,27,28,2,1,7,5.2,2.42,1,2160.67,"JJ","synonym",0.134,0.62,0.408213799,1.458341834,8,7.84,2.6,0,15385,2197.86,"JJ"
"ACCUSE","court",767.09375,687.59375,32,32,2,1,5,100.73,3.71,1,1626.25,"NN|VB","script",0.03,0.4,0.023446491,0.332986186,6,5.69,2.46,0,5844,1168.8,"VB"
"ACCUSE","pants",807.5,609.125,30,32,4,0,5,58.75,3.48,4,2151.25,"NN",NA,NA,NA,0.262821165,0.090810109,6,5.69,2.46,0,5844,1168.8,"VB"
"ACE","poker",646,645.90625,31,32,2,1,5,16.06,2.91,5,2091,"NN","script",0.028,0.17,0.012708214,3.304631476,3,14.73,2.88,11,3096,1548,"NN"
"ACE","length",623.41935483871,625.818181818182,31,33,4,0,6,7.02,2.56,0,2500.4,"NN",NA,NA,NA,0.048163066,0.061448829,3,14.73,2.88,11,3096,1548,"NN"
"ACHIEVE","math",578.03125,691.133333333333,32,30,4,0,4,16.39,2.92,11,2394.67,"NN",NA,NA,NA,0.048122117,0.024927072,7,7.33,2.57,0,7701,1283.5,"VB"
"ACHIEVE","succeed",612.151515151515,695.548387096774,33,31,2,1,7,9.45,2.68,0,1419.17,"VB","unclassified",0.038,0.44,0.165011736,0.097594901,7,7.33,2.57,0,7701,1283.5,"VB"
"ACHIEVEMENT","success",588.677419354839,657.40625,31,32,2,1,7,27.25,3.14,0,1536.67,"NN","synonym",0.161,0.58,0.295965292,0.224537062,11,3.49,2.25,0,17287,1728.7,"NN"
"ACHIEVEMENT","oyster",937.692307692308,779.142857142857,26,28,4,0,6,3.06,2.2,1,2899,"NN",NA,NA,NA,0.128371374,0.138233986,11,3.49,2.25,0,17287,1728.7,"NN"
"ACID","drug",572.666666666667,749.6,33,30,2,1,4,45.22,3.36,3,459,"NN|VB","supraordinate",0.102,0.04,0.064413174,0.480058769,4,9.96,2.71,3,3296,1098.67,"NN|JJ"
"ACID","blow",663.633333333333,736.225806451613,30,31,4,0,4,97.57,3.7,8,1111.67,"NN|VB",NA,NA,NA,0.232651501,0.027770207,4,9.96,2.71,3,3296,1098.67,"NN|JJ"
"ACQUIRE","get",628.709677419355,654.533333333333,31,30,1,1,3,4583.76,5.37,14,1282.5,"VB","synonym",0.397,0.16,0.240835562,0.047321192,2.65,2.13,7,0,7818,1303,"VB"
"ACQUIRE","offense",747,611.9375,32,32,3,0,7,16.47,2.92,1,1479.5,"NN",NA,NA,NA,0.010906411,0.09954959,2.65,2.13,7,0,7818,1303,"VB"
"ACRE","vanish",779.266666666667,811.896551724138,30,29,3,0,6,3.2,2.21,2,1906.4,"VB",NA,NA,NA,0.045902236,0,1.82,1.97,4,3,6802,2267.33,"NN"
"ACRE","land",571.903225806452,634.967741935484,31,31,1,1,4,88.12,3.65,11,2421.33,"NN|VB","supraordinate",0.675,0.58,0.117060026,0.56613119,1.82,1.97,4,3,6802,2267.33,"NN"
"ACROBAT","dancer",604,623.6875,32,32,2,1,6,16.29,2.92,5,2641.8,"NN","unclassified",0.026,0.39,0.056165319,4.646834576,7,0.59,1.49,0,9720,1620,"NN"
"ACROBAT","jewish",748.133333333333,740.181818181818,30,33,4,0,6,13.76,2.85,0,995.6,"JJ|NN",NA,NA,NA,0.078362173,0.037630998,7,0.59,1.49,0,9720,1620,"NN"
"ACT","pie",664.444444444444,766.379310344828,27,29,3,0,3,28.75,3.17,10,1037,"NN",NA,NA,NA,0.114411867,0.053414082,109.12,3.75,3,5,2603,1301.5,"NN|VB"
"ACT","play",551.354838709677,659.30303030303,31,33,1,1,4,354.53,4.26,6,1073,"VB|NN","unclassified",0.182,0.18,0.172626475,0.075001901,109.12,3.75,3,5,2603,1301.5,"NN|VB"
"ACTION","noise",647.870967741935,653.233333333333,31,30,4,0,5,34.88,3.25,4,1484.75,"NN",NA,NA,NA,0.012540351,0.074373635,6,61.08,3.49,0,14494,2898.8,"NN"
"ACTION","verb",650.709677419355,704.870967741935,31,31,2,1,4,1.06,1.74,3,2778.33,"NN","functional property",0.029,0.53,0.18483692,0.524662495,6,61.08,3.49,0,14494,2898.8,"NN"
"ACTOR","actress",667.58064516129,658.548387096774,31,31,1,1,7,16.02,2.91,0,2482.17,"NN","category",0.578,0.59,0.14822718,10.89023599,26.33,3.13,5,0,6723,1680.75,"NN"
"ACTOR","color",591.5625,700.28125,32,32,3,0,5,39.43,3.3,1,1998.5,"NN|VB",NA,NA,NA,0.07855153,0.125349254,26.33,3.13,5,0,6723,1680.75,"NN"
"ACTRESS","actor",661.322580645161,636.90625,31,32,1,1,5,26.33,3.13,0,1680.75,"NN","category",0.507,0.59,0.14822718,10.89150344,16.02,2.91,7,0,14893,2482.17,"NN"
"ACTRESS","key",576.21875,673.733333333333,32,30,3,0,3,86.86,3.65,3,567,"JJ|NN|VB",NA,NA,NA,0.016275608,0.033989925,16.02,2.91,7,0,14893,2482.17,"NN"
"AD","sell",687.551724137931,735.96875,29,32,2,1,4,92.25,3.67,11,1794,"VB|NN","unclassified",0.033,0.31,0.175163038,0.077924398,2,13.61,2.84,8,1051,1051,"NN|minor"
"AD","ask",690.40625,634.033333333333,32,30,4,0,3,483.14,4.39,4,839,"VB",NA,NA,NA,0.109648971,0.464841322,2,13.61,2.84,8,1051,1051,"NN|minor"
"ADD","lion",647.892857142857,624.4,28,30,3,0,4,15.35,2.89,4,3287.33,"NN",NA,NA,NA,0.123623511,0.03899248,33.06,3.23,3,6,1257,628.5,"VB"
"ADD","subtract",707.1875,703.6875,32,32,1,1,8,0.55,1.46,0,1240.71,"VB","antonym",0.685,0.36,0.108172277,3.804428242,33.06,3.23,3,6,1257,628.5,"VB"
"ADDICT","dependent",698.1,715.09375,30,32,2,1,9,2.24,2.06,1,2493.88,"JJ|NN","synonym",0.013,0.41,0.13214764,0.474587828,6,5.35,2.44,0,6565,1313,"NN"
"ADDICT","mob",747.590909090909,773.590909090909,22,22,4,0,3,12.94,2.82,11,661.5,"NN",NA,NA,NA,0.05977266,0,6,5.35,2.44,0,6565,1313,"NN"
"ADDICTION","poker",637.033333333333,706.935483870968,30,31,4,0,5,16.06,2.91,5,2091,"NN",NA,NA,NA,0.112957374,0.102898264,9,3.9,2.3,0,18456,2307,"NN"
"ADDICTION","habit",661.903225806452,688.793103448276,31,29,2,1,5,14.47,2.87,0,1236,"NN","supraordinate",0.014,0.43,0.076115126,1.252897325,9,3.9,2.3,0,18456,2307,"NN"
"ADDITION","thunder",754.677419354839,685.774193548387,31,31,4,0,7,13.31,2.83,0,2332.33,"NN|VB",NA,NA,NA,0.051816735,0,8,7.75,2.6,1,17202,2457.43,"NN"
"ADDITION","plus",674.666666666667,594.096774193548,30,31,2,1,4,47.04,3.38,2,942,"minor","synonym",0.078,0.44,0.124345356,0.175383524,8,7.75,2.6,1,17202,2457.43,"NN"
"ADJECTIVE","bank",631.620689655172,741.96875,29,32,4,0,4,84.98,3.64,16,1515.33,"NN|VB",NA,NA,NA,0.048427588,0.209877895,9,0.49,1.42,0,11226,1403.25,"NN"
"ADJECTIVE","blue",635.129032258065,710.933333333333,31,30,2,1,4,102.39,3.72,4,721.33,"JJ|NN","supraordinate",0.014,0.07,0.022531435,0.07244249,9,0.49,1.42,0,11226,1403.25,"NN"
"ADJOURN","finish",649.548387096774,688.875,31,32,2,1,6,98.92,3.7,0,2653.4,"VB|NN","synonym",0.04,0,0.077473344,0.095743707,7,1.29,1.83,0,4733,788.83,"VB"
"ADJOURN","light",556.620689655172,665.65625,29,32,4,0,5,165.2,3.93,7,1094.25,"NN|VB",NA,NA,NA,0.05588844,0.067442829,7,1.29,1.83,0,4733,788.83,"VB"
"ADJUSTMENT","bra",746.935483870968,692.862068965517,31,29,2,1,3,10.92,2.75,2,1842.5,"NN","unclassified",0.02,0.06,0.011804311,0,10,3.1,2.2,0,14967,1663,"NN"
"ADJUSTMENT","stone",657.09375,626.451612903226,32,31,4,0,5,40.63,3.32,8,2953,"NN|VB",NA,NA,NA,0.067130026,0.232653566,10,3.1,2.2,0,14967,1663,"NN"
"ADMISSION","ticket",557.566666666667,664.733333333333,30,30,1,1,6,45.57,3.37,4,2052.6,"NN|VB","script",0.245,0.1,0.048725972,1.019292469,3.55,2.26,9,0,15647,1955.88,"NN"
"ADMISSION","ax",771.588235294118,776.5,17,24,3,0,2,4.33,2.35,8,94,"NN|VB",NA,NA,NA,0.074653274,0.09980205,3.55,2.26,9,0,15647,1955.88,"NN"
"ADMIT","confess",750.774193548387,707.967741935484,31,31,1,1,7,15.84,2.91,1,2341,"VB","synonym",0.131,0.4,0.368539116,0.572179485,59.2,3.48,5,0,4682,1170.5,"VB"
"ADMIT","remember",736.322580645161,664.1875,31,32,3,0,8,542.47,4.44,0,2250.71,"VB",NA,NA,NA,0.004840623,0.07169754,59.2,3.48,5,0,4682,1170.5,"VB"
"ADOLESCENT","juvenile",876.896551724138,789.806451612903,29,31,2,1,8,5.12,2.42,0,1756,"JJ","synonym",0.014,0.33,0.068492898,2.705783884,10,1.84,1.98,0,20185,2242.78,"NN|JJ"
"ADOLESCENT","gain",628.032258064516,794.785714285714,31,28,4,0,4,13.73,2.85,9,2809.33,"VB|NN",NA,NA,NA,0.103470784,0.06959814,10,1.84,1.98,0,20185,2242.78,"NN|JJ"
"ADORABLE","tantrum",884,842.708333333333,26,24,3,0,7,0.88,1.66,0,1893.33,"NN",NA,NA,NA,0.149180769,0.114158459,10.53,2.73,8,0,13105,1872.14,"JJ"
"ADORABLE","cute",572.59375,727.03125,32,32,1,1,4,87.75,3.65,6,1998,"JJ|NN","synonym",0.689,0.39,0.147851459,20.03079019,10.53,2.73,8,0,13105,1872.14,"JJ"
"ADVANCE","garbage",782.965517241379,754.375,29,32,3,0,7,26.1,3.12,0,1102.17,"NN",NA,NA,NA,0.076582787,0.06241284,15.98,2.91,7,0,8102,1350.33,"NN|VB"
"ADVANCE","forward",654.75,615.225806451613,32,31,1,1,7,72.33,3.57,0,1278.83,"RB|JJ|VB|NN","synonym",0.23,0.29,0.088332363,0.198095044,15.98,2.91,7,0,8102,1350.33,"NN|VB"
"ADVENTURE","electric",715.41935483871,708.566666666667,31,30,4,0,8,17.14,2.94,0,2063.57,"JJ",NA,NA,NA,0.037546116,0.060831839,9,13.43,2.84,0,16492,2061.5,"NN"
"ADVENTURE","journey",624.903225806452,731.548387096774,31,31,2,1,7,19.94,3.01,1,1026.17,"NN|VB","synonym",0.045,0.56,0.101796164,0.741414446,9,13.43,2.84,0,16492,2061.5,"NN"
"ADVENTUROUS","adolescent",807.862068965517,861.620689655172,29,29,3,0,10,1.84,1.98,0,2242.78,"NN|JJ",NA,NA,NA,0.011345639,0.057196476,1.22,1.8,11,0,17236,1723.6,"JJ"
"ADVENTUROUS","daring",795.741935483871,726.75,31,32,1,1,6,4.2,2.33,4,3437.4,"JJ|VB|NN","synonym",0.105,0.45,0.052181219,1.731738581,1.22,1.8,11,0,17236,1723.6,"JJ"
"ADVERB","mom",615.806451612903,696.8,31,30,3,0,3,430.39,4.34,6,1090.5,"NN",NA,NA,NA,0.006412002,0,0.2,1.04,6,1,9447,1889.4,"NN"
"ADVERB","adjective",714.3125,743.466666666667,32,30,1,1,9,0.49,1.42,0,1403.25,"NN","category",0.274,0.94,0.547310435,154.2041917,0.2,1.04,6,1,9447,1889.4,"NN"
"ADVERSARY","enemy",857.551724137931,814.555555555556,29,27,1,1,5,48.51,3.39,1,1800.5,"NN","synonym",0.197,0.42,0.048882974,0.502139617,1.51,1.89,9,0,14989,1873.63,"NN"
"ADVERSARY","wide",667.933333333333,717.090909090909,30,33,3,0,4,23.8,3.08,13,1305,"JJ|RB|NN",NA,NA,NA,0.050810635,0.096544678,1.51,1.89,9,0,14989,1873.63,"NN"
"ADVERTISEMENT","newspaper",730.787878787879,719.625,33,32,2,1,9,23.69,3.08,0,1665.13,"NN","script",0.118,0.57,0.23763265,1.243051455,13,1.2,1.79,0,29341,2445.08,"NN"
"ADVERTISEMENT","great",708.15625,688.8125,32,32,4,0,5,820.86,4.62,3,2821.5,"JJ|NN|RB",NA,NA,NA,0.00843179,0,13,1.2,1.79,0,29341,2445.08,"NN"
"ADVISE","advice",739.451612903226,735.09375,31,32,2,1,6,47.98,3.39,1,1162.6,"NN","unclassified",0.02,0.52,0.093980032,1.76788355,6,12.2,2.79,1,6679,1335.8,"VB"
"ADVISE","kitchen",637.21875,641.096774193548,32,31,4,0,7,58.31,3.47,0,1654,"NN",NA,NA,NA,0.066713082,0.042465565,6,12.2,2.79,1,6679,1335.8,"VB"
"AFFAIR","window",637.03125,705.193548387097,32,31,3,0,6,86,3.64,0,2079.8,"NN",NA,NA,NA,0.416346151,0.130881823,29.45,3.18,6,0,2791,558.2,"NN"
"AFFAIR","cheat",639.133333333333,697.606060606061,30,33,1,1,5,17.67,2.96,4,2315.5,"VB|NN","synonym",0.142,0.16,0.042897879,0.736249284,29.45,3.18,6,0,2791,558.2,"NN"
"AFRICA","continent",763.862068965517,797.172413793103,29,29,1,1,9,3.67,2.27,0,3859.75,"NN","supraordinate",0.234,0.63,0.322493753,1.372474099,18.76,2.98,6,0,7579,1515.8,"NN"
"AFRICA","get",788.551724137931,619.466666666667,29,30,3,0,3,4583.76,5.37,14,1282.5,"VB",NA,NA,NA,0,0.036532781,18.76,2.98,6,0,7579,1515.8,"NN"
"AFTER","before",577.612903225806,751.15625,31,32,1,1,6,794.14,4.61,0,1838.2,"minor|RB|NN","antonym",0.571,0.81,0.580842501,0.1150911,682.59,4.54,5,2,10949,2737.25,"minor"
"AFTER","sunset",636.96875,639.290322580645,32,31,3,0,6,10.31,2.72,0,1591.4,"NN",NA,NA,NA,0.031171757,0.061500879,682.59,4.54,5,2,10949,2737.25,"minor"
"AGAIN","hot",567.225806451613,590.741935483871,31,31,3,0,3,189.84,3.99,16,1049.5,"JJ|VB",NA,NA,NA,0.124655377,0.123341763,792.71,4.61,5,0,9212,2303,"RB"
"AGAIN","repeat",632.827586206897,611.575757575758,29,33,1,1,6,33.02,3.23,3,2575,"VB|NN","synonym",0.336,0.33,0.204599981,0.335260205,792.71,4.61,5,0,9212,2303,"RB"
"AGAINST","for",637.633333333333,713.533333333333,30,30,1,1,3,6895.1,5.55,7,1672,"minor","antonym",0.312,0.49,0.24208283,0.081797442,201.73,4.01,7,0,14633,2438.83,"minor"
"AGAINST","time",529.161290322581,623.166666666667,31,30,3,0,4,1958.63,5,9,2468,"NN|VB",NA,NA,NA,0.10552729,0.102857801,201.73,4.01,7,0,14633,2438.83,"minor"
"AGE","helper",784.769230769231,817.48275862069,26,29,3,0,6,2.02,2.02,1,2278.2,"NN",NA,NA,NA,0.125479836,0.039501569,79.2,3.61,3,10,1995,997.5,"NN|VB"
"AGE","old",644.032258064516,662.818181818182,31,33,1,1,3,608.94,4.49,1,813.5,"JJ|NN","supraordinate",0.391,0.41,0.166614509,0.088629311,79.2,3.61,3,10,1995,997.5,"NN|VB"
"AGENCY","bracelet",734.068965517241,734.857142857143,29,28,3,0,8,7.8,2.6,0,1897.86,"NN",NA,NA,NA,0.053563942,0.066628515,19.43,3,6,0,7385,1477,"NN"
"AGENCY","company",661,595.322580645161,32,31,1,1,7,147.2,3.88,0,1550.83,"NN","synonym",0.088,0.19,0.18016252,0.196574802,19.43,3,6,0,7385,1477,"NN"
"AGENDA","schedule",642.060606060606,738.233333333333,33,30,1,1,8,29.76,3.18,0,1919.71,"NN|VB","synonym",0.259,0.04,0.055483789,0.169875184,7.31,2.57,6,0,8107,1621.4,"NN"
"AGENDA","arrogant",762.666666666667,775.071428571429,27,28,3,0,8,5.22,2.43,0,1901,"JJ",NA,NA,NA,0.032873745,0.038675185,7.31,2.57,6,0,8107,1621.4,"NN"
"AGREE","light",602.875,663.545454545455,32,33,3,0,5,165.2,3.93,7,1094.25,"NN|VB",NA,NA,NA,0.058652477,0.071204291,64.67,3.52,5,0,6944,1736,"VB"
"AGREE","disagree",657.212121212121,759.387096774194,33,31,1,1,8,6.63,2.53,0,1759.43,"VB","antonym",0.393,0.54,0.218008228,2.165679929,64.67,3.52,5,0,6944,1736,"VB"
"AGREEMENT","high",638.741935483871,763.375,31,32,3,0,4,195,4,3,793,"JJ|RB|NN",NA,NA,NA,0.088204712,0.015567061,17.49,2.95,9,0,16530,2066.25,"NN"
"AGRICULTURE","carry",650.322580645161,715.1,31,30,3,0,5,65.9,3.53,7,1495,"VB|NN",NA,NA,NA,0.05486252,0.023692546,1.1,1.76,11,0,15396,1539.6,"NN"
"AGRICULTURE","farm",606.71875,669.3125,32,32,1,1,4,30.04,3.19,6,1325.33,"NN|VB","supraordinate",0.283,0.62,0.161360879,1.640167435,1.1,1.76,11,0,15396,1539.6,"NN"
"AHEAD","armor",903.133333333333,730.034482758621,30,29,3,0,5,7.29,2.57,2,1816.5,"NN",NA,NA,NA,0.1825908,0.126879205,198.33,4,5,0,4683,1170.75,"RB|minor"
"AHEAD","behind",645.34375,564.838709677419,32,31,1,1,6,187.86,3.98,0,2146.8,"minor|NN","antonym",0.424,0.61,0.229880427,0.81321097,198.33,4,5,0,4683,1170.75,"RB|minor"
"AHOY","crazy",693.878787878788,632.633333333333,33,30,3,0,5,272.27,4.14,1,1009.25,"JJ",NA,NA,NA,0.012167038,0,3.71,2.28,4,0,1401,467,"NN"
"AHOY","ship",621.939393939394,658.677419354839,33,31,1,1,4,98.88,3.7,8,969,"NN|VB","unclassified",0.264,0.38,0.010338987,1.661164889,3.71,2.28,4,0,1401,467,"NN"
"AIM","president",654.133333333333,752.433333333333,30,30,4,0,9,140.67,3.86,0,2794.25,"NN",NA,NA,NA,0.0353545,0.052745935,3,14.86,2.88,9,1805,902.5,"NN|VB"
"AIM","toothpaste",680.714285714286,689.71875,28,32,2,1,10,3.14,2.21,0,1671.33,"NN","supraordinate",0.068,0.08,0.040409584,2.452390416,3,14.86,2.88,9,1805,902.5,"NN|VB"
"AIR","murder",706,690.032258064516,30,31,3,0,6,112.1,3.76,0,2220.2,"NN|VB",NA,NA,NA,0.095853744,0.028539796,139.02,3.85,3,5,1728,864,"NN|VB"
"AIR","breathe",646.5,703.806451612903,32,31,1,1,7,48.51,3.39,3,2364.17,"VB","functional property",0.176,0.64,0.190862276,0.699768538,139.02,3.85,3,5,1728,864,"NN|VB"
"AIRCRAFT","pilot",686.809523809524,612.714285714286,63,63,3,0,5,26.67,3.13,1,1156.75,"NN|VB","script",0.054,0.8,0.128383032,1.46847642,8,9.45,2.68,0,6458,922.57,"NN"
"AIRCRAFT","pilot",686.809523809524,612.714285714286,63,63,3,0,5,26.67,3.13,1,1156.75,"NN|VB",NA,NA,NA,0.078852332,0.116832767,8,9.45,2.68,0,6458,922.57,"NN"
"AIRPLANE","fly",569.909090909091,675.225806451613,33,31,1,1,3,85,3.64,4,1008.5,"VB|NN","functional property",0.32,0.68,0.201216098,1.664784552,10.92,2.75,8,0,10550,1507.14,"NN"
"AIRPLANE","communist",876.428571428571,770.1,28,30,3,0,9,7.57,2.59,1,1765.75,"NN|JJ",NA,NA,NA,0.195463662,0.074661034,10.92,2.75,8,0,10550,1507.14,"NN"
"AIRPORT","leaves",729.6875,718.466666666667,32,30,3,0,6,45.41,3.36,5,2400.8,"VB",NA,NA,NA,0.030417945,0,38.04,3.29,7,0,6828,1138,"NN"
"AIRPORT","plane",703.633333333333,604.75,30,32,1,1,5,95.53,3.69,5,2138.5,"NN|VB","script",0.757,0.75,0.115055856,0.426063207,38.04,3.29,7,0,6828,1138,"NN"
"ALARM","am",918.117647058824,787.866666666667,17,15,4,0,2,1106.63,4.75,7,945,"VB",NA,NA,NA,0.046088387,0.02133054,5,29.84,3.18,0,8631,2157.75,"NN|VB"
"ALARM","morning",752.6875,647.1875,32,32,2,1,7,439,4.35,1,2753.83,"NN","unclassified",0.042,0.49,0.038956835,0.235903392,5,29.84,3.18,0,8631,2157.75,"NN|VB"
"ALBUM","less",674.8125,703.7,32,30,3,0,4,111.1,3.75,8,3158.67,"JJ|RB|minor",NA,NA,NA,0,1.056838538,10.24,2.72,5,0,4277,1069.25,"NN"
"ALBUM","record",596.354838709677,673.5,31,32,1,1,6,85.59,3.64,1,2339.8,"NN","synonym",0.333,0.4,0.064912225,0.802683116,10.24,2.72,5,0,4277,1069.25,"NN"
"ALCOHOL","sticky",725.28125,805.774193548387,32,31,4,0,6,5.73,2.47,3,2333.8,"JJ",NA,NA,NA,0.102735924,0.021379786,7,16.57,2.93,0,8157,1359.5,"NN"
"ALCOHOL","drink",672.030303030303,635.9375,33,32,2,1,5,247.39,4.1,3,2612.75,"VB|NN","supraordinate",0.151,0.79,0.20318178,3.491383555,7,16.57,2.93,0,8157,1359.5,"NN"
